low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,repayment_capability,is_high_user,number_of_trans_from_2011,first_transaction_time,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,status,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day,reg_preference_for_trad,latest_query_time_month,latest_query_time_weekday,loans_latest_time_month,loans_latest_time_weekday
0.01,0.99,0,0.9,0.55,0.313,17.0,27.0,26.0,3.0,19890,0,30.0,20130817.0,149050,151.0,0.4,34030,7.0,3920,0.15,1020,0.55,4.0,19.0,4.0,19.0,1.0,1.0,2.0,2.0,5.0,2170,6.0,0.0,1970,18040,0.0,1,1738.0,85.0,583.0,79.0,8.0,2.0,6.0,10.0,2.0,5.0,8.0,552.0,73.0,37.0,34.0,2.0,10.0,1.0,9.0,1.0,1.0,13.0,37.0,7.0,1.0,0.0,341.0,2200.0,72.0,9.0,10.0,2900.0,1688.0,1200.0,75.0,1.0,2.0,1200.0,1200.0,12.0,18.0,0,4.0,2.0,4.0,3.0
0.02,0.94,2000,1.28,1.0,0.45799999999999996,19.0,30.0,14.0,4.0,16970,0,23.0,20160402.0,302910,224.0,0.35,10590,5.0,6950,0.05,1210,0.5,13.0,30.0,13.0,30.0,0.0,0.0,3.0,3.0,330.0,2100,9.0,0.0,1820,15680,0.0,0,779.0,84.0,653.0,73.0,7.0,4.0,2.0,8.0,2.0,6.0,8.0,635.0,76.0,37.0,36.0,0.0,17.0,5.0,12.0,2.0,2.0,8.0,49.0,4.0,2.0,1.0,353.0,2000.0,74.0,12.0,12.0,3500.0,1758.0,15100.0,80.0,5.0,6.0,22800.0,9360.0,4.0,2.0,0,5.0,3.0,5.0,5.0
0.04,0.96,0,1.0,1.0,0.114,13.0,68.0,22.0,1.0,9710,0,9.0,20170617.0,11520,31.0,1.0,5710,5.0,840,0.65,570,0.65,0.0,68.0,0.0,68.0,0.0,3.0,6.0,6.0,0.0,0,3.0,0.0,0,0,0.0,1,338.0,95.0,654.0,76.0,11.0,5.0,5.0,16.0,5.0,5.0,14.0,633.0,83.0,4.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,157.0,1500.0,77.0,2.0,2.0,1600.0,1250.0,4200.0,87.0,1.0,1.0,4200.0,4200.0,2.0,6.0,0,5.0,5.0,5.0,1.0
0.0,0.96,2000,0.13,0.57,0.777,22.0,14.0,6.0,3.0,6210,0,33.0,20130516.0,491130,360.0,0.15,91690,7.0,46850,0.05,1290,0.45,6.0,8.0,6.0,8.0,0.0,1.0,8.0,8.0,31700.0,8140,9.0,0.0,2700,27970,0.0,0,1831.0,82.0,595.0,79.0,12.0,7.0,4.0,22.0,3.0,16.0,17.0,542.0,75.0,85.0,81.0,4.0,22.0,5.0,17.0,2.0,4.0,34.0,91.0,26.0,2.0,0.0,355.0,1800.0,74.0,17.0,18.0,3200.0,1541.0,16300.0,80.0,5.0,5.0,30000.0,12180.0,2.0,4.0,1,5.0,5.0,5.0,3.0
0.01,0.99,0,0.46,1.0,0.175,13.0,66.0,42.0,1.0,11150,0,12.0,20170312.0,61470,63.0,0.65,9770,6.0,760,1.0,1110,0.5,0.0,66.0,0.0,66.0,0.0,3.0,3.0,3.0,0.0,1000,3.0,0.0,0,6410,0.0,1,435.0,88.0,541.0,75.0,11.0,3.0,4.0,14.0,6.0,8.0,9.0,479.0,73.0,37.0,32.0,6.0,12.0,2.0,10.0,0.0,0.0,10.0,36.0,25.0,0.0,0.0,360.0,1800.0,72.0,10.0,10.0,2300.0,1630.0,8300.0,79.0,2.0,2.0,8400.0,8250.0,22.0,120.0,0,4.0,6.0,1.0,6.0
0.02,0.98,2000,7.59,1.0,0.733,27.0,8.0,11.0,3.0,8420,0,18.0,20160920.0,416670,317.0,0.2,78890,6.0,22770,0.05,1160,0.5,4.0,7.0,4.0,12.0,1.0,0.0,3.0,3.0,344024.0,2560,9.0,0.0,0,31400,0.0,0,608.0,82.0,682.0,79.0,14.0,5.0,5.0,19.0,4.0,8.0,13.0,676.0,75.0,60.0,55.0,0.0,22.0,10.0,12.0,1.0,1.0,25.0,78.0,12.0,4.0,0.0,360.0,2600.0,72.0,12.0,13.0,5300.0,1941.0,11200.0,80.0,10.0,12.0,20400.0,8130.0,3.0,4.0,1,5.0,4.0,5.0,3.0
0.02,0.98,0,23.67,0.94,0.087,10.0,54.0,53.0,2.0,11220,0,15.0,20161112.0,34140,50.0,1.0,3080,6.0,110,1.0,1250,0.5,0.0,54.0,0.0,54.0,0.0,0.0,1.0,1.0,0.0,0,1.0,0.0,0,4390,0.0,0,555.0,98.0,626.0,77.0,10.0,4.0,4.0,13.0,4.0,5.0,7.0,612.0,75.0,7.0,4.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,9.0,6.0,1.0,2.0,312.0,2200.0,76.0,1.0,1.0,2200.0,2200.0,7600.0,73.0,2.0,2.0,16800.0,8900.0,1.0,3.0,0,5.0,6.0,5.0,4.0
0.02,0.98,0,0.25,0.88,0.302,19.0,20.0,20.0,2.0,8220,0,30.0,20150512.0,144600,198.0,0.4,13930,8.0,880,0.1,920,0.55,6.0,20.0,6.0,20.0,0.0,1.0,1.0,4.0,1194017.0,1540,12.0,0.0,470,9690,0.0,0,1105.0,93.0,543.0,77.0,7.0,5.0,2.0,10.0,0.0,3.0,6.0,494.0,76.0,19.0,18.0,0.0,7.0,3.0,3.0,0.0,0.0,4.0,34.0,0.0,0.0,0.0,360.0,2100.0,74.0,3.0,3.0,2300.0,0.0,0.0,78.0,3.0,3.0,20400.0,0.0,23.0,4.0,0,4.0,5.0,4.0,3.0
0.03,0.65,0,0.31,0.76,0.47200000000000003,15.0,21.0,14.0,2.0,69800,0,28.0,20150218.0,172290,253.0,0.35,21760,8.0,99950,0.05,860,0.6,10.0,10.0,10.0,10.0,2.0,0.0,1.0,1.0,77.0,1750,4.0,0.0,0,6750,0.0,0,1188.0,83.0,491.0,80.0,9.0,3.0,4.0,13.0,2.0,8.0,10.0,451.0,78.0,24.0,11.0,11.0,10.0,8.0,2.0,3.0,10.0,16.0,22.0,53.0,0.0,21.0,316.0,4700.0,77.0,2.0,2.0,5300.0,4750.0,5500.0,79.0,8.0,11.0,19200.0,7987.0,24.0,7.0,1,4.0,4.0,4.0,0.0
0.01,0.99,500,0.8,1.0,0.08800000000000001,15.0,36.0,35.0,2.0,12510,0,14.0,20170105.0,37250,44.0,0.75,6640,7.0,110,1.0,1110,0.5,0.0,36.0,0.0,36.0,0.0,0.0,2.0,5.0,0.0,500,3.0,0.0,0,6160,0.0,1,501.0,95.0,619.0,79.0,7.0,3.0,2.0,8.0,3.0,7.0,7.0,589.0,74.0,13.0,12.0,0.0,5.0,0.0,5.0,0.0,0.0,6.0,13.0,3.0,0.0,0.0,312.0,1900.0,74.0,5.0,5.0,2800.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,142.0,0,4.0,0.0,12.0,2.0
